"","X","Y","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1",29.61669922,-1.948913574,1121.536880002,768.064199925,1000.632660534,920.904554297,1016.711303868,1043.659380447,1078.05048411,799.076188502,740.109910094,792.769399638,789.05729787,855.104914014,1027.647261988,1067.606491171,883.565160492,766.606328173,828.475328188,833.801123948,897.931877054,792.094339088,890.248735599999,965.855056252,1138.930273529,994.243461394,902.935849648,747.426791825,830.707836959,894.135527257,1006.19677336,881.970679345,900.675244844,722.459799736,746.409036263,830.831729181
"2",29.70568848,-1.948913574,906.602391776,584.243886071,921.740663446,880.99593883,1122.364808238,851.010738472,1046.524931114,878.037084885,754.984708113,727.959536606,824.732748724,846.05944493,930.165550194,997.413782905,819.113742354,753.026276949,837.453847942,853.677140363,917.598795895999,746.276977297,791.690676076,978.976076839,1019.396721924,1035.022315282,906.424971044,695.693580299,860.440480777,853.283125327,1133.439625336,811.165474199,892.939902138001,759.720892182,795.720334231,799.609172665
"3",29.79467773,-1.948913574,863.760231369999,633.199166463,812.035293658,945.640589368,1036.928240078,887.19087979,1060.182464166,893.169318878,792.059655278,758.40914786,768.875302976,863.785494947,1080.721557855,1036.304963529,816.911912325,713.195848515,824.257585671,785.795907371,976.878187603,739.761741752,660.169837727,964.006214528,954.894918902,1077.01475422,881.569335528,671.460091729,862.719002006,811.048499621,1031.55245973,749.714788737,858.5583471,848.417713926,822.243798452,780.845978518
"4",29.88372803,-1.948913574,862.596160161,643.781200945,763.170781717,882.600793829,1060.943550977,1185.821808058,1070.763221194,935.623201887,996.326956876,629.213635003,691.105734824,816.06178457,998.32395078,900.820619691,720.158187587,677.711942391,769.349292888,619.991943853,939.6630366,693.82315661,598.479377745,999.266245263,859.556239443,1071.557367277,860.767515967,705.08512058,843.630179886,871.462879606,1013.763233254,712.911366675,880.52570088,872.541175723,853.25409545,758.446616687
"5",29.97271729,-1.948913574,836.886312929,658.455616337,792.838660624,829.270500326001,1133.547221248,1227.373501494,1100.267385907,947.904638609,1003.486995333,756.890727249,745.036858276,897.972449762,1041.473359535,999.405706238,817.268576385,686.870059303,763.222623577,708.382613914,901.698996392,654.163789893,588.743303542,984.047701844,930.540876157001,1078.232042388,872.293361576,710.096994643,883.262184951,955.154215139,973.124894929,854.560905413,963.560643694,806.0671471,820.158060739,802.275590305
"6",30.06170654,-1.948913574,742.031218578,680.388871178,881.108889438,815.080867107,1127.291520349,1398.138747285,1080.319130653,1040.522367337,964.974007719,731.718077262,755.45762839,906.014611967,983.014245938,1086.851001171,994.544100102,720.463963277999,774.764853369,718.567384718,914.413626339999,580.233933615,575.467947495,953.880465104,945.282974691,1070.41678972,908.679873614,646.227599408,883.278391546,945.861565771,1025.490322587,880.342583024,933.47780958,776.491870455,738.67078623,723.622776351
"7",30.1506958,-1.948913574,643.360596881999,682.756238372,853.968357614,799.804551521,1095.441673854,1288.62257784,1069.687015096,1100.577924176,838.520973302,665.471322265,838.695722387,884.244852174,970.705605918,925.730228767,945.47936893,676.288124013,701.535461072,744.302293936,975.819103661,615.711276661,606.89312542,1005.065047756,966.290336492,1050.873626048,911.487518092,693.678881769,868.680236605999,1005.30058764,1069.235918703,925.442249196,945.344157207001,826.027530398,690.063996513,756.145236828
"8",30.23968506,-1.948913574,643.360596881999,682.756238372,853.968357614,799.804551521,1095.441673854,1288.62257784,1069.687015096,1100.577924176,838.520973302,665.471322265,838.695722387,884.244852174,970.705605918,925.730228767,945.47936893,676.288124013,701.535461072,744.302293936,975.819103661,615.711276661,606.89312542,1005.065047756,966.290336492,1050.873626048,911.487518092,693.678881769,868.680236605999,1005.30058764,1069.235918703,925.442249196,945.344157207001,826.027530398,690.063996513,756.145236828
"9",30.32867432,-1.948913574,710.823492343,646.217239232,777.324445483,803.366426765,911.004764564,1192.899774141,917.830176394,988.908536946,725.716653319,541.807605608,796.473380195,752.293271946,886.666425912,752.726868468,888.135188967001,610.971595292,606.521096737,663.481225697,977.08355191,640.220772922,600.159610398,925.90528025,882.099561707,962.236663551,919.051526245,688.483386675,745.187366303,945.80243179,1066.57720008,873.032902892,894.807509029,875.558640935,712.128901783,647.368289776
"10",30.41772461,-1.948913574,770.994568756,629.902383317,785.501405569,790.339847973,975.733465928,941.594717811,815.208018659999,824.340056843,776.46238163,486.510645336,693.929642218,720.502720166,787.939404749,728.203473187,752.256836712,562.270958361,488.755847145,575.853598027,871.248228330999,674.931151096,598.363058557,945.936536903,904.58438447,860.689554269,799.776757713,657.126084396,735.496745461,822.753333547,947.19225367,799.854774487,780.099295661,804.427479359,687.319283554,644.79422239
