OBJECTID,DISTRICT,long,lat,AREA_SQKM
103,PALLISA,33.74140394,1.223712316,1095.053539
104,RAKAI,31.51915581,-0.764170383,4039.622463
105,RUBANDA,29.86615015,-1.168596817,687.6366719
106,RUBIRIZI,29.99082901,-0.249926466,1373.84816
107,RUKUNGIRI,29.88844561,-0.702268145,1523.597576
108,SERERE,33.37203125,1.491199279,1963.930472
109,SHEEMA,30.32596028,-0.600958608,700.0809592
110,SIRONKO,34.31745552,1.174523427,405.5593264
111,SOROTI,33.59026362,1.77456267,1410.924805
112,SSEMBABULE,31.33918316,-0.023726931,2340.53043
113,TORORO,34.08134028,0.727951173,1193.682674
114,WAKISO,32.44530718,0.22313518,2806.870428
115,YUMBE,31.30262824,3.520798385,2495.974411
116,ZOMBO,30.89564248,2.521821583,898.2840172
